title,description,start_event_date,end_event_date,location,created_by
Hội Thảo Khoa Học Quốc Tế,"Hội Thảo Khoa Học Quốc Tế – Trao đổi nghiên cứu mới giữa giảng viên, sinh viên và chuyên gia.",5/6/2025,5/8/2025,Phòng Hội nghị Tầng 3 – Tòa nhà Innovation,1
Giải Bóng Đá Sinh Viên,Giải Bóng Đá Sinh Viên – Giải đấu tranh tài hấp dẫn giữa các khoa – CLB.,5/12/2025,5/14/2025,Đại học Ngân hàng TP.HCM,1
Ngày Hội Âm Nhạc & Nghệ Thuật,Ngày Hội Âm Nhạc & Nghệ Thuật – Sân chơi sáng tạo cho sinh viên yêu nghệ thuật và biểu diễn.,5/20/2025,5/22/2025,Đại học Kinh tế – Luật (UEL),1
Workshop Khởi Nghiệp Sáng Tạo,Workshop Khởi Nghiệp Sáng Tạo – Hướng dẫn cách hình thành và phát triển ý tưởng kinh doanh.,5/27/2025,5/30/2025,"Công viên 30/4, Quận 1",1
Lễ Hội Đèn Lồng,Lễ Hội Đèn Lồng – Không gian đèn lồng lung linh với nhiều hoạt động nghệ thuật.,6/1/2025,6/2/2025,Hội trường Lớn Đại học Bách Khoa Hà Nội,1
Ngày Hội Truyền Thống Trường,Ngày Hội Truyền Thống Trường – Kỷ niệm lịch sử phát triển và thành tựu nổi bật của trường.,6/3/2025,6/5/2025,Đại học Huế – Cơ sở Điện Biên Phủ,1
Chương Trình Định Hướng Tân Sinh Viên,Chương Trình Định Hướng Tân Sinh Viên – Hỗ trợ sinh viên mới hòa nhập môi trường đại học.,6/10/2025,6/12/2025,Đại học Đà Nẵng – Tòa A,1
Lễ Kỷ Niệm Thành Lập Trường,"Lễ Kỷ Niệm Thành Lập Trường – Sự kiện tri ân, nhìn lại hành trình xây dựng và phát triển.",6/18/2025,6/20/2025,"Công viên Biển Đông, Đà Nẵng",1
Hội Thảo Quản Trị Kinh Doanh,Hội Thảo Quản Trị Kinh Doanh – Chia sẻ về chiến lược lãnh đạo và quản lý doanh nghiệp hiện đại.,6/27/2025,6/29/2025,Trường Quốc tế Việt Úc – VAS,1
Cuộc Thi Tài Năng Sinh Viên,Cuộc Thi Tài Năng Sinh Viên – Cơ hội tỏa sáng với những tiết mục sáng tạo.,7/2/2025,7/3/2025,Trường Đại học Cần Thơ,1
Ngày Hội Kết Nối Doanh Nghiệp,Ngày Hội Kết Nối Doanh Nghiệp – Gặp gỡ doanh nghiệp và tìm kiếm cơ hội hợp tác – tuyển dụng.,7/5/2025,7/7/2025,Trường Đại học Nông Lâm TP.HCM,1
Triển Lãm Robot & Tự Động Hóa,Triển Lãm Robot & Tự Động Hóa – Trưng bày mô hình robot và sản phẩm công nghệ tự động.,7/11/2025,7/13/2025,Phòng Hội thảo SmartLab – HCMUTE,1
Cuộc Thi Sáng Tạo Khoa Học,Cuộc Thi Sáng Tạo Khoa Học – Khuyến khích sinh viên nghiên cứu và ứng dụng khoa học.,7/19/2025,7/20/2025,Trung tâm Khởi nghiệp Đổi mới Sáng tạo,1
Sự Kiện Chào Đón Noel,"Sự Kiện Chào Đón Noel – Trang trí Giáng sinh, quà tặng và chương trình biểu diễn đặc biệt.",7/28/2025,7/30/2025,Hội trường 6B – Đại học HUFIT,1
Ngày Hội Halloween 2025,"Ngày Hội Halloween 2025 – Hóa trang, trò chơi và sân khấu kinh dị vui nhộn.",8/2/2025,8/3/2025,Đại học Văn Lang – Cơ sở Gò Vấp,1
Hội Thảo Phát Triển Kỹ Năng Mềm,"Hội Thảo Phát Triển Kỹ Năng Mềm – Giúp sinh viên cải thiện giao tiếp, teamwork và leadership.",8/5/2025,8/7/2025,Đại học Nguyễn Tất Thành,1
Ngày Hội Sức Khỏe & Thể Thao,"Ngày Hội Sức Khỏe & Thể Thao – Kiểm tra sức khỏe, thi đấu thể thao và tư vấn dinh dưỡng.",8/12/2025,8/14/2025,"Công viên Bạch Đằng, Quận 1",1
Lễ Hội Bánh & Đồ Ngọt,Lễ Hội Bánh & Đồ Ngọt – Thưởng thức hàng chục gian hàng bánh ngọt độc đáo.,8/19/2025,8/20/2025,Phòng Lab IoT – Đại học Công nghiệp,1
Đêm Gala Tổng Kết Năm,Đêm Gala Tổng Kết Năm – Vinh danh thành tích và kết nối cộng đồng sinh viên.,8/26/2025,8/28/2025,Khu Công nghệ cao TP.HCM (SHTP),1
Hội Thảo Du Học – Học Bổng,Hội Thảo Du Học – Học Bổng – Cập nhật thông tin học bổng và lộ trình du học.,9/2/2025,9/3/2025,Trung tâm Văn hóa tỉnh Bình Dương,1
Festival Thời Trang Sinh Viên,Festival Thời Trang Sinh Viên – Trình diễn bộ sưu tập sáng tạo do sinh viên thiết kế.,9/5/2025,9/7/2025,Đại học Đồng Nai,1
Cuộc Thi Ảnh Nghệ Thuật,Cuộc Thi Ảnh Nghệ Thuật – Sân chơi dành cho bạn trẻ yêu nhiếp ảnh.,9/11/2025,9/12/2025,Thư viện Khoa học Tổng hợp TP.HCM,1
Workshop Quay – Dựng Video,Workshop Quay – Dựng Video – Học kỹ thuật quay phim và dựng video cơ bản.,9/18/2025,9/20/2025,Phòng họp Innovation Space – FPT,1
Ngày Hội Công Nghệ Giáo Dục,Ngày Hội Công Nghệ Giáo Dục – Giới thiệu giải pháp EdTech hỗ trợ giảng dạy hiện đại.,9/27/2025,9/29/2025,Công viên Ánh Sáng Vinhomes Grand Park,1
Triển Lãm Đồ Án Sinh Viên,"Triển Lãm Đồ Án Sinh Viên – Trưng bày các đồ án, dự án sáng tạo của sinh viên.",10/2/2025,10/3/2025,Nhà Văn hóa Sinh viên Hà Nội,1
Ngày Hội STEM,Ngày Hội STEM – Kết hợp khoa học – kỹ thuật – toán học qua trò chơi và mô hình.,10/5/2025,10/7/2025,Đại học Thủ Dầu Một,1
Hội Thảo Blockchain & Web3,Hội Thảo Blockchain & Web3 – Khám phá công nghệ phi tập trung và xu hướng tương lai.,10/11/2025,10/13/2025,Đại học Quốc tế – HCMIU,1
Đêm Hội Trung Thu,"Đêm Hội Trung Thu – Chương trình văn nghệ, múa lân và phát quà trung thu.",10/20/2025,10/22/2025,Nhà thi đấu Quận 10,1
Lễ Hội Tết Việt,Lễ Hội Tết Việt – Không gian văn hóa Tết cổ truyền với nhiều hoạt động trải nghiệm.,10/28/2025,10/30/2025,Khu du lịch Suối Tiên,1
Ngày Hội Sáng Tạo Kỹ Thuật,Ngày Hội Sáng Tạo Kỹ Thuật – Các nhóm trình bày sản phẩm kỹ thuật tự chế.,11/2/2025,11/3/2025,Đại học Tôn Đức Thắng,1
Cuộc Thi Code Challenge,Cuộc Thi Code Challenge – Đua tốc độ lập trình và giải thuật.,11/5/2025,11/7/2025,"Khu du lịch Đại Nam, Bình Dương",1
Workshop Làm Resume & Kỹ Năng Phỏng Vấn,Workshop Làm Resume & Kỹ Năng Phỏng Vấn – Chuẩn bị CV ấn tượng và phỏng vấn thành công.,11/11/2025,11/13/2025,Nhà hát Hòa Bình,1
Hội Chợ Sinh Viên 2025,"Hội Chợ Sinh Viên 2025 – Gian hàng handmade, đặc sản và tư liệu học tập.",11/18/2025,11/20/2025,Công viên Văn hóa Đầm Sen,1
Triển Lãm Startup Công Nghệ,Triển Lãm Startup Công Nghệ – Giới thiệu dự án khởi nghiệp nổi bật của sinh viên.,11/25/2025,11/27/2025,"Khu đô thị Phú Mỹ Hưng, Quận 7",1
Ngày Hội Quốc Tế Phụ Nữ,Ngày Hội Quốc Tế Phụ Nữ – Tôn vinh phụ nữ qua chương trình giao lưu đặc sắc.,12/2/2025,12/3/2025,Đại học Giao thông Vận tải TP.HCM,1
Hội Thảo Quản Lý Dự Án Agile,Hội Thảo Quản Lý Dự Án Agile – Học phương pháp Agile và Scrum qua thực hành.,12/5/2025,12/7/2025,Hội trường E4 – Trường HUTECH,1
Ngày Hội Việc Làm IT,Ngày Hội Việc Làm IT – Gặp gỡ doanh nghiệp công nghệ và cơ hội tuyển dụng.,12/12/2025,12/14/2025,Đại học Hoa Sen – Quận 1,1
Đêm Lửa Trại Sinh Viên,Đêm Lửa Trại Sinh Viên – Hoạt động teambuilding gắn kết.,12/18/2025,12/20/2025,Đại học Kinh tế TP.HCM (UEH),1
Hội Thi Văn Nghệ Truyền Thống,Hội Thi Văn Nghệ Truyền Thống – Các tiết mục ca múa nhạc đặc sắc.,12/27/2025,12/29/2025,Phòng Innovation Hub – Đại học FPT,1
Sự Kiện Chào Đón Năm Học Mới,Sự Kiện Chào Đón Năm Học Mới – Gặp gỡ thầy cô và các CLB trong năm học mới.,1/7/2025,1/8/2025,Trung tâm Triển lãm Lê Quý Đôn,1
Cuộc Thi Marathon Bền Bỉ,Cuộc Thi Marathon Bền Bỉ – Giải chạy đường dài thử thách sức bền.,1/14/2025,1/16/2025,Đại học Greenwich Việt Nam,1
Ngày Hội Sách Miễn Phí,Ngày Hội Sách Miễn Phí – Trao đổi sách miễn phí và giao lưu văn hóa đọc.,1/22/2025,1/24/2025,Đại học VinUni Hà Nội,1
Workshop Kỹ Năng Thuyết Trình,Workshop Kỹ Năng Thuyết Trình – Học cách trình bày tự tin trước đám đông.,2/8/2025,2/10/2025,Sân vận động Phú Thọ,1
Triển Lãm Công Nghệ XR,Triển Lãm Công Nghệ XR – Trải nghiệm VR/AR thực tế ảo đa chiều.,2/14/2025,2/16/2025,Công viên Riverside Quận 7,1
Lễ Hội Hoa Xuân,Lễ Hội Hoa Xuân – Không gian hoa tươi rực rỡ chào đón mùa xuân.,2/21/2025,2/23/2025,Khu du lịch Bình Quới,1
Ngày Hội Môi Trường Xanh,Ngày Hội Môi Trường Xanh – Hoạt động trồng cây và bảo vệ môi trường.,3/7/2025,3/9/2025,Đại học Sài Gòn,1
Diễn Đàn Công Nghệ 4.0,"Diễn Đàn Công Nghệ 4.0 – Thảo luận xu hướng AI, IoT, Big Data.",3/15/2025,3/17/2025,Đại học Kiến trúc TP.HCM,1
Workshop Tư Duy Thiết Kế (Design Thinking),Workshop Design Thinking – Tư duy sáng tạo giải quyết vấn đề.,3/25/2025,3/27/2025,Hội trường Quốc tế – Toà nhà K,1
Cuộc Thi Robotics Sinh Viên,Cuộc Thi Robotics Sinh Viên – Trình diễn mô hình robot tự động.,4/7/2025,4/9/2025,Đại học Tài chính – Marketing,1
Lễ Hội Văn Hóa Các Quốc Gia,Lễ Hội Văn Hóa Các Quốc Gia – Sắc màu văn hóa từ nhiều nước trên thế giới.,4/14/2025,4/16/2025,Trung tâm Khởi nghiệp BKHCM,1
Ngày Hội Tuyển Dụng Vị Trí Thực Tập,Ngày Hội Tuyển Dụng Thực Tập – Nơi sinh viên tìm kiếm vị trí thực tập phù hợp.,4/22/2025,4/24/2025,Công viên Phú Lâm,1
Chương Trình Tư Vấn Hướng Nghiệp,Chương Trình Tư Vấn Hướng Nghiệp – Giúp sinh viên định hướng nghề nghiệp tương lai.,5/8/2025,5/10/2025,Phòng họp sáng tạo – Đại học Văn Hiến,1
Festival Trải Nghiệm Nghề Nghiệp,Festival Trải Nghiệm Nghề Nghiệp – Trải nghiệm các ngành nghề thực tế.,5/14/2025,5/16/2025,Đại học FPT Cần Thơ,1
Workshop Nhiếp Ảnh,Workshop Nhiếp Ảnh – Hướng dẫn chụp và chỉnh sửa ảnh đẹp.,5/22/2025,5/24/2025,"Công viên sông Hàn, Đà Nẵng",1
Đêm Hội Sắc Màu,Đêm Hội Sắc Màu – Sự kiện âm nhạc – ánh sáng sôi động.,6/7/2025,6/9/2025,Nhà thi đấu Thanh Xuân – Hà Nội,1
Cuộc Thi Idea Challenge,Cuộc Thi Idea Challenge – Tìm kiếm ý tưởng đột phá từ sinh viên.,6/15/2025,6/17/2025,Đại học Hải Phòng,1
Ngày Hội Kết Nối Cộng Đồng,Ngày Hội Kết Nối Cộng Đồng – Xây dựng tinh thần đoàn kết và sẻ chia.,6/25/2025,6/27/2025,Đại học Tây Nguyên,1
Lễ Hội Âm Nhạc Mùa Hè,Lễ Hội Âm Nhạc Mùa Hè – Đại nhạc hội sôi động ngoài trời.,7/7/2025,7/9/2025,Công viên Lê Thị Riêng,1
Sự Kiện Ra Mắt Dự Án Sinh Viên,Sự Kiện Ra Mắt Dự Án Sinh Viên – Trình bày sản phẩm nghiên cứu sáng tạo.,7/15/2025,7/17/2025,Hội trường Thành Đoàn TP.HCM,1
Ngày Hội IoT & Thiết Bị Thông Minh,Ngày Hội IoT & Thiết Bị Thông Minh – Giới thiệu thiết bị thông minh và ứng dụng IoT.,7/25/2025,7/27/2025,Trung tâm văn hóa Quận Bình Thạnh,1
Cuộc Thi Thiết Kế Logo,Cuộc Thi Thiết Kế Logo – Khơi gợi sự sáng tạo trong thiết kế thương hiệu.,8/7/2025,8/9/2025,Đại học Quốc gia Hà Nội – Hòa Lạc,1
Workshop Marketing Thực Chiến,Workshop Marketing Thực Chiến – Chia sẻ kinh nghiệm marketing thực tế.,8/15/2025,8/17/2025,Phòng workshop Innovation Lab,1
Triển Lãm Công Trình Nghiên Cứu,Triển Lãm Công Trình Nghiên Cứu – Giới thiệu các công trình khoa học mới.,8/25/2025,8/27/2025,Đại học Quốc tế Miền Đông,1
Hội Thảo Phân Tích Dữ Liệu,Hội Thảo Phân Tích Dữ Liệu – Hướng dẫn kỹ năng Data Analytics cho người mới.,9/7/2025,9/9/2025,Nhà Văn hóa Lao Động TP.HCM,1
Ngày Hội Chụp Ảnh Kỷ Yếu,Ngày Hội Chụp Ảnh Kỷ Yếu – Ghi lại khoảnh khắc đáng nhớ tuổi sinh viên.,9/15/2025,9/17/2025,Công viên Landmark 81,1
Cuộc Thi Hùng Biện Tiếng Anh,Cuộc Thi Hùng Biện Tiếng Anh – Rèn luyện kỹ năng nói trước đám đông.,9/25/2025,9/27/2025,Đại học Nha Trang,1
Festival Công Nghệ VR,Festival Công Nghệ VR – Trải nghiệm không gian thực tế ảo sáng tạo.,10/7/2025,10/9/2025,Đại học Quy Nhơn,1
Hội Chợ Tết Sinh Viên,Hội Chợ Tết Sinh Viên – Gian hàng Tết và hoạt động truyền thống.,10/15/2025,10/17/2025,Hội trường C1 – Đại học Y Hà Nội,1
Workshop Lập Trình Game,Workshop Lập Trình Game – Hướng dẫn tạo game đơn giản dành cho người mới.,10/25/2025,10/27/2025,Công viên Hòa Bình Hà Nội,1
Ngày Hội Giao Lưu Doanh Nhân,Ngày Hội Giao Lưu Doanh Nhân – Cơ hội học hỏi kinh nghiệm khởi nghiệp.,11/7/2025,11/9/2025,"Sân Hoa Lư, Quận 1",1
Hội Thảo Tâm Lý Học Đường,Hội Thảo Tâm Lý Học Đường – Chăm sóc sức khỏe tinh thần cho sinh viên.,11/15/2025,11/17/2025,Nhà văn hóa Thanh Đa,1
Cuộc Thi UI/UX Design Challenge,Cuộc Thi UI/UX Design Challenge – Thi thiết kế giao diện – trải nghiệm người dùng.,11/27/2025,11/29/2025,"Khu sinh thái Hồ Mây, Vũng Tàu",1
Sự Kiện Giao Lưu Cựu Sinh Viên,Sự Kiện Giao Lưu Cựu Sinh Viên – Kết nối các thế hệ sinh viên.,12/7/2025,12/9/2025,Trung tâm thương mại AEON Mall,1
Ngày Hội Chăm Sóc Sức Khỏe,Ngày Hội Chăm Sóc Sức Khỏe – Khám sức khỏe miễn phí và tư vấn chuyên môn.,12/15/2025,12/17/2025,Khu du lịch Rừng Sác – Cần Giờ,1
Festival Nghệ Thuật Đường Phố,"Festival Nghệ Thuật Đường Phố – Trình diễn nhạc cụ, vẽ tranh và nghệ thuật đường phố.",12/29/2025,12/31/2025,Đại học Sư phạm TP.HCM,1
Workshop Cloud Computing,Workshop Cloud Computing – Giới thiệu nền tảng điện toán đám mây.,5/23/2025,5/26/2025,Trường Đại học Thăng Long,1
Triển Lãm Sản Phẩm Công Nghệ,Triển Lãm Sản Phẩm Công Nghệ – Trưng bày sản phẩm công nghệ và sáng tạo mới.,11/3/2025,11/6/2025,"Công viên Gia Định, Gò Vấp",1
Lễ Hội Sắc Màu Truyền Thống,Lễ Hội Sắc Màu Truyền Thống – Không gian văn hóa dân gian rực rỡ.,11/19/2025,11/22/2025,Đại học FPT Cần Thơ,1
Ngày Hội Công Nghệ Kỹ Thuật Số,Ngày Hội Công Nghệ Kỹ Thuật Số – Cập nhật xu hướng số hóa trong kỹ thuật và công nghệ.,11/26/2025,11/26/2025,"Công viên sông Hàn, Đà Nẵng",1
